<USER_REQUEST>
id,question,answer,category,destination,country
11,How should I split a ₹50000 budget for Rome for 2 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Rome,Italy
12,How much should I budget for Mumbai for 6 days as a family traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Mumbai, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Mumbai,India
13,What food should I try in Darjeeling?,"Try well-reviewed local dishes and regional specialties in Darjeeling. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Darjeeling,India
14,How should I split a ₹10000 budget for Munnar for 5 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Munnar,India
15,What is a good luxury plan for Tokyo for 13 days?,"For a 13-day luxury trip to Tokyo, focus on beaches. Allocate time across major attractions, local food, transport, and rest. Keep a daily budget buffer of about 10–15% for unexpected expenses.",travel_planning_budget,Tokyo,Japan
16,What if my budget is too low for London?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,London,UK
17,What food should I try in New York?,"Try well-reviewed local dishes and regional specialties in New York. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,New York,USA
18,How can I reduce my travel cost in Goa?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Goa,India
19,What is the best transport option in Bali?,"Compare flight options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Bali,Indonesia
20,How much should I budget for Goa for 9 days as a friends traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Goa, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Goa,India
21,Is Goa suitable for a couple trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Goa,India
22,What is a good friends plan for Munnar for 10 days?,"For a 10-day friends trip to Munnar, focus on nightlife. Allocate time across major attractions, local food, transport, and rest. Keep a daily budget buffer of about 10–15% for unexpected expenses.",travel_planning_budget,Munnar,India
23,How should I split a ₹15000 budget for Dubai for 12 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Dubai,UAE
24,How can I reduce my travel cost in Araku Valley?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Araku Valley,India
25,How can I reduce my travel cost in Pune?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Pune,India
26,How should I split a ₹10000 budget for Tokyo for 11 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Tokyo,Japan
27,How should I split a ₹3000 budget for Paris for 3 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Paris,France
28,What is a good solo plan for Kolkata for 1 days?,"For a 1-day solo trip to Kolkata, focus on shopping. Allocate time across major attractions, local food, transport, and rest. Keep a daily budget buffer of about 10–15% for unexpected expenses.",travel_planning_budget,Kolkata,India
29,How much should I budget for Jaipur for 10 days as a solo traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Jaipur, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Jaipur,India
30,What food should I try in Paris?,"Try well-reviewed local dishes and regional specialties in Paris. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Paris,France
31,What is the best transport option in Manali?,"Compare car options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Manali,India
32,How should I split a ₹15000 budget for Sydney for 9 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Sydney,Australia
33,How much should I budget for Varanasi for 9 days as a friends traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Varanasi, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Varanasi,India
34,What is the best transport option in Chennai?,"Compare taxi options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Chennai,India
35,What is a good budget plan for Hyderabad for 2 days?,"For a 2-day budget trip to Hyderabad, focus on beaches. Allocate time across major attractions, local food, transport, and rest. Keep a daily budget buffer of about 10–15% for unexpected expenses.",travel_planning_budget,Hyderabad,India
36,What food should I try in Rome?,"Try well-reviewed local dishes and regional specialties in Rome. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Rome,Italy
37,What is the best transport option in Delhi?,"Compare car options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Delhi,India
38,How much should I budget for London for 8 days as a luxury traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For London, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,London,UK
39,What is a good family plan for Dubai for 7 days?,"For a 7-day family trip to Dubai, focus on culture. Allocate time across major attractions, local food, transport, and rest. Keep a daily budget buffer of about 10–15% for unexpected expenses.",travel_planning_budget,Dubai,UAE
40,How should I split a ₹3000 budget for Dubai for 11 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Dubai,UAE
41,How can I make a 14-day itinerary for London?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,London,UK
42,What is the best transport option in Varanasi?,"Compare car options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Varanasi,India
43,How can I make a 2-day itinerary for Rome?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Rome,Italy
44,What food should I try in Tokyo?,"Try well-reviewed local dishes and regional specialties in Tokyo. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Tokyo,Japan
45,Is Kolkata suitable for a luxury trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Kolkata,India
46,How can I make a 7-day itinerary for Hyderabad?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Hyderabad,India
47,What is the best transport option in Dubai?,"Compare flight options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Dubai,UAE
48,How should I split a ₹3000 budget for Visakhapatnam for 10 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Visakhapatnam,India
49,How can I make a 1-day itinerary for Visakhapatnam?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Visakhapatnam,India
50,What if my budget is too low for Mumbai?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,Mumbai,India
51,What if my budget is too low for Vijayawada?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,Vijayawada,India
52,Is Jaipur suitable for a business trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Jaipur,India
53,What is the best transport option in Dubai?,"Compare flight options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Dubai,UAE
54,What should I see in Dubai if I like nature?,"Choose attractions and experiences in Dubai that match nature, group them by nearby areas, and avoid packing too many distant locations into one day. Verify opening hours and ticket prices before travel.",travel_planning_budget,Dubai,UAE
55,How much should I budget for Dubai for 11 days as a family traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Dubai, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Dubai,UAE
56,How can I make a 8-day itinerary for Hyderabad?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Hyderabad,India
57,What is the best transport option in Delhi?,"Compare bus options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Delhi,India
58,How can I reduce my travel cost in Kochi?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Kochi,India
59,How can I make a 13-day itinerary for Darjeeling?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Darjeeling,India
60,How much should I budget for Bengaluru for 11 days as a solo traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Bengaluru, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Bengaluru,India
61,What is the best transport option in Bali?,"Compare taxi options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Bali,Indonesia
62,How can I reduce my travel cost in Bangkok?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Bangkok,Thailand
63,How can I reduce my travel cost in New York?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,New York,USA
64,What food should I try in Visakhapatnam?,"Try well-reviewed local dishes and regional specialties in Visakhapatnam. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Visakhapatnam,India
65,How much should I budget for Manali for 12 days as a friends traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Manali, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Manali,India
66,How should I split a ₹3000 budget for New York for 12 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,New York,USA
67,How can I reduce my travel cost in Shimla?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Shimla,India
68,What is the best transport option in Kochi?,"Compare train options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Kochi,India
69,What should I see in Dubai if I like nightlife?,"Choose attractions and experiences in Dubai that match nightlife, group them by nearby areas, and avoid packing too many distant locations into one day. Verify opening hours and ticket prices before travel.",travel_planning_budget,Dubai,UAE
70,What is a good luxury plan for Sydney for 4 days?,"For a 4-day luxury trip to Sydney, focus on food. Allocate time across major attractions, local food, transport, and rest. Keep a daily budget buffer of about 10–15% for unexpected expenses.",travel_planning_budget,Sydney,Australia
71,What should I see in Mumbai if I like culture?,"Choose attractions and experiences in Mumbai that match culture, group them by nearby areas, and avoid packing too many distant locations into one day. Verify opening hours and ticket prices before travel.",travel_planning_budget,Mumbai,India
72,What food should I try in London?,"Try well-reviewed local dishes and regional specialties in London. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,London,UK
73,What is the best transport option in Jaipur?,"Compare flight options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Jaipur,India
74,How can I reduce my travel cost in Jaipur?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Jaipur,India
75,How can I make a 2-day itinerary for Rome?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Rome,Italy
76,How much should I budget for Munnar for 11 days as a luxury traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Munnar, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Munnar,India
77,How much should I budget for New York for 5 days as a couple traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For New York, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,New York,USA
78,How can I make a 7-day itinerary for Darjeeling?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Darjeeling,India
79,Is Araku Valley suitable for a business trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Araku Valley,India
80,Is Hyderabad suitable for a luxury trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Hyderabad,India
81,How much should I budget for Vijayawada for 11 days as a family traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Vijayawada, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Vijayawada,India
82,Is Bali suitable for a business trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Bali,Indonesia
83,Is Bangkok suitable for a business trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Bangkok,Thailand
84,Is Dubai suitable for a couple trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Dubai,UAE
85,Is Manali suitable for a solo trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Manali,India
86,What food should I try in London?,"Try well-reviewed local dishes and regional specialties in London. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,London,UK
87,How much should I budget for Dubai for 4 days as a business traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Dubai, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Dubai,UAE
88,What is the best transport option in Bengaluru?,"Compare bus options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Bengaluru,India
89,What is a good couple plan for Dubai for 5 days?,"For a 5-day couple trip to Dubai, focus on nature. Allocate time across major attractions, local food, transport, and rest. Keep a daily budget buffer of about 10–15% for unexpected expenses.",travel_planning_budget,Dubai,UAE
90,What if my budget is too low for Jaipur?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,Jaipur,India
91,What is the best transport option in Delhi?,"Compare car options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Delhi,India
92,Is Goa suitable for a budget trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Goa,India
93,How can I make a 3-day itinerary for Jaipur?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Jaipur,India
94,What food should I try in Jaipur?,"Try well-reviewed local dishes and regional specialties in Jaipur. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Jaipur,India
95,What food should I try in Dubai?,"Try well-reviewed local dishes and regional specialties in Dubai. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Dubai,UAE
96,How can I make a 14-day itinerary for Darjeeling?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Darjeeling,India
97,What is the best transport option in Varanasi?,"Compare flight options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Varanasi,India
98,What is the best transport option in Tokyo?,"Compare metro options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Tokyo,Japan
99,How should I split a ₹10000 budget for Agra for 8 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Agra,India
100,Is Chennai suitable for a solo trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Chennai,India
101,Is Bangkok suitable for a budget trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Bangkok,Thailand
102,Is Chennai suitable for a friends trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Chennai,India
103,What food should I try in Munnar?,"Try well-reviewed local dishes and regional specialties in Munnar. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Munnar,India
104,How can I make a 6-day itinerary for Hyderabad?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Hyderabad,India
105,Is London suitable for a couple trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,London,UK
106,What should I see in Kolkata if I like shopping?,"Choose attractions and experiences in Kolkata that match shopping, group them by nearby areas, and avoid packing too many distant locations into one day. Verify opening hours and ticket prices before travel.",travel_planning_budget,Kolkata,India
107,Is Tokyo suitable for a couple trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Tokyo,Japan
108,Is Shimla suitable for a budget trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Shimla,India
109,Is Goa suitable for a friends trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Goa,India
110,Is Chennai suitable for a friends trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Chennai,India
111,How much should I budget for Agra for 13 days as a luxury traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Agra, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Agra,India
112,What is the best transport option in Kolkata?,"Compare flight options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Kolkata,India
113,What is the best transport option in Singapore?,"Compare train options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Singapore,Singapore
114,What food should I try in Tokyo?,"Try well-reviewed local dishes and regional specialties in Tokyo. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Tokyo,Japan
115,How can I reduce my travel cost in Dubai?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Dubai,UAE
116,How much should I budget for Paris for 6 days as a couple traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Paris, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Paris,France
117,What is a good couple plan for Paris for 14 days?,"For a 14-day couple trip to Paris, focus on adventure. Allocate time across major attractions, local food, transport, and rest. Keep a daily budget buffer of about 10–15% for unexpected expenses.",travel_planning_budget,Paris,France
118,What is the best transport option in Sydney?,"Compare metro options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Sydney,Australia
119,How can I reduce my travel cost in Vijayawada?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Vijayawada,India
120,What is a good business plan for Rome for 11 days?,"For a 11-day business trip to Rome, focus on history. Allocate time across major attractions, local food, transport, and rest. Keep a daily budget buffer of about 10–15% for unexpected expenses.",travel_planning_budget,Rome,Italy
121,How should I split a ₹5000 budget for Kochi for 9 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Kochi,India
122,How should I split a ₹5000 budget for Hyderabad for 14 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Hyderabad,India
123,How can I make a 14-day itinerary for Singapore?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Singapore,Singapore
124,Is Singapore suitable for a business trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Singapore,Singapore
125,What is the best transport option in Tokyo?,"Compare auto-rickshaw options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Tokyo,Japan
126,What food should I try in Tokyo?,"Try well-reviewed local dishes and regional specialties in Tokyo. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Tokyo,Japan
127,What food should I try in Shimla?,"Try well-reviewed local dishes and regional specialties in Shimla. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Shimla,India
128,How can I reduce my travel cost in Rome?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Rome,Italy
129,How can I make a 5-day itinerary for Chennai?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Chennai,India
130,What is the best transport option in Delhi?,"Compare taxi options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Delhi,India
131,What is a good budget plan for Bangkok for 8 days?,"For a 8-day budget trip to Bangkok, focus on photography. Allocate time across major attractions, local food, transport, and rest. Keep a daily budget buffer of about 10–15% for unexpected expenses.",travel_planning_budget,Bangkok,Thailand
132,What if my budget is too low for Vijayawada?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,Vijayawada,India
133,How can I make a 8-day itinerary for Kochi?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Kochi,India
134,How can I reduce my travel cost in Chennai?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Chennai,India
135,How can I make a 2-day itinerary for Jaipur?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Jaipur,India
